Year,gdp_orig,gdp
1960,59184116489,5.918411649
1961,49557050183,4.955705018
1962,46685178504,4.66851785
1963,50097303271,5.009730327
1964,59062254890,5.906225489
1965,69709153115,6.970915312
1966,75879434776,7.587943478
1967,72057028560,7.205702856
1968,69993497892,6.999349789
1969,78718820478,7.871882048
1970,91506211306,9.150621131
1971,98562023844,9.856202384
1972,1.12E+11,11.216
1973,1.37E+11,13.677
1974,1.42E+11,14.2255
1975,1.61E+11,16.1162
1976,1.52E+11,15.1628
1977,1.72E+11,17.2349
1978,1.48E+11,14.8382
1979,1.77E+11,17.6857
1980,1.90E+11,18.965
1981,1.94E+11,19.4369
1982,2.04E+11,20.355
1983,2.29E+11,22.895
1984,2.58E+11,25.8082
1985,3.07E+11,30.748
1986,2.99E+11,29.8806
1987,2.71E+11,27.135
1988,3.11E+11,31.0722
1989,3.46E+11,34.5957
1990,3.59E+11,35.8973
1991,3.81E+11,38.1455
1992,4.25E+11,42.4934
1993,4.43E+11,44.2875
1994,5.62E+11,56.2261
1995,7.32E+11,73.2032
1996,8.61E+11,86.0844
1997,9.58E+11,95.8159
1998,1.03E+12,102.528
1999,1.09E+12,108.945
2000,1.21E+12,120.526
2001,1.33E+12,133.223
2002,1.46E+12,146.191
2003,1.65E+12,164.993
2004,1.94E+12,194.175
2005,2.27E+12,226.86
2006,2.73E+12,272.978
2007,3.52E+12,352.309
2008,4.56E+12,455.843
2009,5.06E+12,505.942
2010,6.04E+12,603.966
2011,7.49E+12,749.243
2012,8.46E+12,846.162
2013,9.49E+12,949.06
2014,1.04E+13,1035.48
